食物种类,食物名,热量,食物详情页面链接
"蛋类、肉类及制品
  ",羊肉(肥瘦),热量：203 大卡(每100克),http://www.boohee.com/shiwu/yangrou_feishou
"蛋类、肉类及制品
  ",墨鱼丸,热量：128 大卡(每100克),http://www.boohee.com/shiwu/moyuwan
"蛋类、肉类及制品
  ",鱿鱼(水浸),热量：75 大卡(每100克),http://www.boohee.com/shiwu/youyu_shuijin
"蛋类、肉类及制品
  ",黄鱼(大黄花鱼),热量：97 大卡(每100克),http://www.boohee.com/shiwu/huangyu_dahuanghuayu
"蛋类、肉类及制品
  ",带鱼,热量：127 大卡(每100克),http://www.boohee.com/shiwu/daiyu
"奶类及制品
  ",牛奶（完达山牌）,热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_wandashanpai
"奶类及制品
  ",蒙牛 冠益乳特品酸牛奶（原味）,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuguanyirutepinsuanniunaiyuanwei
"奶类及制品
  ",全脂加糖奶粉,热量：490 大卡(每100克),http://www.boohee.com/shiwu/quanzhijiatangnaifen
"奶类及制品
  ",蒙牛 酸牛奶（草莓味）罐装950ml（盒装）,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/mengniucaomeiweisuanniunai
"奶类及制品
  ",雀巢 高纤高钙奶粉,热量：428 大卡(每100克),http://www.boohee.com/shiwu/quechaopaigaoxiangaogainaifen
"奶类及制品
  ",味全优酪乳（原味）,热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/weiquanyoulaoru_yuanwei
"奶类及制品
  ",蒙牛冠益乳特品酸牛奶木糖醇味,热量：63 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuguanyirutepinsuanniunaimutangchunwei
"奶类及制品
  ",伊利优品嘉人优酪乳·酸牛奶[焕颜蓝莓],热量：78 大卡(每100毫升),http://www.boohee.com/shiwu/yiliyoulaoru_youpinjiaren_huanyanlanmei
